article_number,article_text
1,"يقصد في تطبيق أحكام هذا القانون بالمصطلحات التالية: 1 - العامل: كل ذكر أو أنثى يؤدي عملاً يدوياً أو ذهنياً لمصلحة صاحب العمل وتحت إدارته وإشرافه مقابل أجر. 2 - صاحب العمل: كل شخص طبيعي أو اعتباري يستخدم عمالاً مقابل أجر."
24,"تستحق المرأة العاملة الحامل إجازة مدفوعة الأجر لا تحسب من إجازاتها الأخرى لمدة سبعين يوماً للوضع بشرط أن يتم الوضع خلالها، وبعد انتهاء إجازة الوضع يجوز لصاحب العمل منح المرأة العاملة بناءً على طلبها إجازة بدون أجر لا تجاوز أربعة أشهر لرعاية الطفولة."
55,"يستحق العامل مكافأة نهاية الخدمة عند انتهاء عقد عمله، فإذا كان الأجر شهرياً يستحق مكافأة تعادل أجر خمسة عشر يوماً عن كل سنة من السنوات الخمس الأولى، وأجر شهر عن كل سنة تالية، بحيث لا تزيد المكافأة في مجموعها عن أجر سنة ونصف."
70,"للعامل الحق في إجازة سنوية مدفوعة الأجر مدتها ثلاثون يوماً، ولا يستحق العامل إجازة عن السنة الأولى إلا بعد قضاء تسعة أشهر على الأقل في خدمة صاحب العمل."
